day,Non Retail Sized,Retail Sized,total
2017-11-01,260.000000,0.000000,260.000000
2017-12-01,684.485843,0.000000,684.485843
2018-01-01,52334884.535522,461.330952,52335345.866474
2018-02-01,58397002.826692,9924.227656,58406927.054348
2018-03-01,51540844.247081,12807.208315,51553651.455396
2018-04-01,71226910.095661,33899.947628,71260810.043289
2018-05-01,54716651.527755,38619.935736,54755271.463491
2018-06-01,66980336.308043,38651.178379,67018987.486422
2018-07-01,57953138.141584,43672.827586,57996810.969170
2018-08-01,38529779.518213,47010.228620,38576789.746833
2018-09-01,67364239.364993,117772.871180,67482012.236173
2018-10-01,433359401.987633,174764.195049,433534166.182682
2018-11-01,852587473.613181,652838.235092,853240311.848274
2018-12-01,1259109826.442381,1358185.121536,1260468011.563917
2019-01-01,1665508008.277894,1669003.322928,1667177011.600822
2019-02-01,830887231.041982,1606514.887230,832493745.929211
2019-03-01,646926074.144846,1813579.603190,648739653.748037
2019-04-01,2608462424.009997,2846539.859907,2611308963.869904
2019-05-01,3789635649.366049,6003413.391163,3795639062.757212
2019-06-01,5224038822.863695,11048982.850702,5235087805.714397
2019-07-01,15193327139.604164,21169859.427108,15214496999.031271
2019-08-01,11722546654.615778,95450712.869147,11817997367.484924
2019-09-01,13696837019.860237,160848880.839771,13857685900.700008
2019-10-01,17953212205.371628,64806291.860842,18018018497.232471
2019-11-01,17044193296.655828,68137328.318969,17112330624.974798
2019-12-01,15008327044.659380,52019320.922278,15060346365.581657
2020-01-01,14674954164.164423,56521451.661496,14731475615.825918
2020-02-01,18052263533.456810,84181186.567496,18136444720.024307
2020-03-01,26680626196.056870,111805033.872493,26792431229.929363
2020-04-01,24587457574.083115,150131521.109215,24737589095.192329
2020-05-01,30471662968.913940,190001036.080668,30661664004.994610
2020-06-01,35353900591.973724,240843265.363866,35594743857.337593
2020-07-01,46401501243.425476,237194393.839620,46638695637.265099
2020-08-01,63861618092.910873,248831284.199588,64110449377.110458
2020-09-01,86037052806.841324,276139492.326987,86313192299.168304
2020-10-01,66061055051.314865,336654539.927654,66397709591.242516
2020-11-01,78078609331.082367,343356128.969740,78421965460.052109
2020-12-01,92051515379.552765,332852895.964045,92384368275.516815
2021-01-01,159057634342.432190,363860246.857460,159421494589.289642
2021-02-01,193318187003.195801,443941256.881096,193762128260.076904
2021-03-01,216523049712.673523,604313741.187941,217127363453.861450
2021-04-01,297753671053.426941,815904422.125868,298569575475.552795
2021-05-01,457076417781.360840,1175748145.840987,458252165927.201843
2021-06-01,264849160045.668884,852481309.666245,265701641355.335144
2021-07-01,225545813954.751282,845260675.259923,226391074630.011200
2021-08-01,297620607136.441772,1045971770.541284,298666578906.983032
2021-09-01,320693224187.802979,1186363606.928101,321879587794.731079
2021-10-01,334105162490.032349,1446668314.113026,335551830804.145386
2021-11-01,397307918945.199829,1953328054.974020,399261247000.173828
2021-12-01,388320231278.891724,1684563347.455951,390004794626.347656
2022-01-01,317138486728.978394,1517893572.884833,318656380301.863220
2022-02-01,249799127710.704895,1413810978.262581,251212938688.967468
2022-03-01,322104406236.661499,1604092294.869924,323708498531.531433
2022-04-01,306557346643.551514,1767827116.557783,308325173760.109314
2022-05-01,466460308605.231567,2091536313.316532,468551844918.548096
2022-06-01,376438685064.348328,1819266431.948958,378257951496.297302
2022-07-01,302048743475.308655,1811866082.675555,303860609557.984192
2022-08-01,334278565447.410889,1753252060.864454,336031817508.275330
2022-09-01,309434857034.598328,1742367772.968538,311177224807.566895
2022-10-01,295757273761.282227,1735789166.521974,297493062927.804199
2022-11-01,465770210144.753174,2029164996.095063,467799375140.848267
2022-12-01,391566290454.287109,2241068147.249069,393807358601.536194
2023-01-01,397393934077.037048,1930079085.155012,399324013162.192078
2023-02-01,328761937979.989258,1851387409.741827,330613325389.731079
2023-03-01,451484255629.401794,2256074948.181394,453740330577.583191
2023-04-01,290718292117.752258,2482303309.532000,293200595427.284241
2023-05-01,287902353151.716309,2647267625.928274,290549620777.644592
2023-06-01,316615018250.291931,2300359562.152111,318915377812.444031
2023-07-01,277347866158.701172,2356418899.584261,279704285058.285461
2023-08-01,290722566453.789490,2214504888.927052,292937071342.716553
2023-09-01,256287355233.573334,2079959554.588846,258367314788.162170
2023-10-01,288222071037.169739,2244297216.896865,290466368254.066589
2023-11-01,321834920168.421143,2436058371.890871,324270978540.312012
2023-12-01,353126006077.879517,2749301212.695661,355875307290.575195
2024-01-01,381706950477.284363,2672290874.764283,384379241352.048645
2024-02-01,353124430529.990051,2668256669.878715,355792687199.868774
2024-03-01,538778124413.282410,3887065314.317648,542665189727.600037
2024-04-01,491022176555.159668,3752063364.126881,494774239919.286560
2024-05-01,424835503981.606384,3356613684.530156,428192117666.136536
2024-06-01,408644496517.240051,3244164982.363100,411888661499.603149
2024-07-01,448658498830.843994,3298540700.004294,451957039530.848267
2024-08-01,473777178169.209900,3434610187.053347,477211788356.263245
2024-09-01,411289590453.794556,3450951819.255792,414740542273.050354
2024-10-01,488986160743.207703,3518706544.173038,492504867287.380737
2024-11-01,696988486254.422729,3926086763.879035,700914573018.301758
2024-12-01,734461369865.780518,4477442400.417031,738938812266.197510
2025-01-01,714984198673.113403,4621338806.420677,719605537479.534058
2025-02-01,683008972201.550781,4227750512.616478,687236722714.167236
2025-03-01,679907845789.886108,5092747359.696095,685000593149.582153
2025-04-01,718327350576.182617,4238375685.274188,722565726261.456787
2025-05-01,746063330518.302368,5796235016.399023,751859565534.701416
2025-06-01,785885359273.720947,5316877533.483511,791202236807.204468
2025-07-01,911567689698.385986,5919032423.316340,917486722121.702271
2025-08-01,915637150407.784424,5920364097.808706,921557514505.593140
2025-09-01,964077359653.681519,6621645426.410620,970699005080.092163
2025-10-01,1458686509551.547363,7897097506.698460,1466583607058.245850
2025-11-01,1126607026686.489990,7325550128.229328,1133932576814.719238
2025-12-01,1012432521056.852417,6892657147.822665,1019325178204.675049
2026-01-01,1133757645425.505371,6774100633.067994,1140531746058.573486
2026-02-01,1771083711438.896729,5757789212.034563,1776841500650.931396
2026-03-01,1453948879054.188721,6172800632.136051,1460121679686.324707
2026-04-01,1237797962266.670654,5966527187.613575,1243764489454.284180
2026-05-01,1100409679601.687744,6653295348.083001,1107062974949.770752
2026-06-01,424760694509.834351,1818277869.709606,426578972379.543945
